dr_id,name,common_error_body_pos_reference,common_error_body_pos_candidate,common_error_joint_pos_reference,common_error_joint_pos_candidate,failure_rate_reference,failure_rate_candidate,coverage_reference,coverage_candidate,truncated_error_anchor_pos_reference,truncated_error_anchor_pos_candidate,truncated_error_anchor_rot_reference,truncated_error_anchor_rot_candidate,episode_return_reference,episode_return_candidate,residual_saturation_fraction_reference,residual_saturation_fraction_candidate
0,all_0kg,0.04308109482218073,0.025763708639112377,0.5936336033984556,0.42786148421600556,0.0,0.0,1.0,1.0,0.20061282873258646,0.1192022559456965,0.08539457035570075,0.050858911990029065,97.25353707186514,102.14523537928471,0.3082273807227733,0.0015698901246479237
1,all_1kg,0.03721834312637008,0.03223195235832619,0.580482123537108,0.5268385585964985,0.001953125,0.001953125,0.9986674331103679,0.9984105002787068,0.1778266181474326,0.16385253634471203,0.06868481615922531,0.060664814340315884,97.0520247852437,97.97523489249943,0.33207954044599264,0.14848625478488414
2,all_2kg,0.04094824576913208,0.04081110638609769,0.6202148335501121,0.6141759446713826,0.0,0.001953125,1.0,0.9987540409482758,0.24965598414513018,0.23754393172997662,0.0651418691309902,0.06834933642359887,94.42567977357317,93.92759540339557,0.3501018759926562,0.20213997339059195
3,all_4kg,0.057508967748312725,0.056764326679494506,0.817580921492435,0.8350437276635793,0.048828125,0.03125,0.969188271749869,0.9801600107011668,0.4672756500666472,0.3535068313037838,0.08084154183898817,0.08713585519201882,84.11312450779776,85.57247185380311,0.3639443732321139,0.3132484151418117
4,arms_4kg,0.05067255863646991,0.0502420456237431,0.7608789339567925,0.785378446907982,0.02734375,0.02734375,0.9824074828329981,0.9827526024464849,0.3284650303969029,0.3189832877314207,0.07271214358795369,0.07873056150139529,87.98621482837507,87.41845276120716,0.34581990807198093,0.21593511281157185
5,shins_4kg,0.04104906304706643,0.027720328453764605,0.5817704659782059,0.46566230357291427,0.001953125,0.001953125,0.9988619586614174,0.9988465797244095,0.23015793464855794,0.18816284531252256,0.0794952255255122,0.056308688505688764,97.2858553412334,100.26226443795531,0.31147635106931926,0.017809586040048446
6,left_4kg,0.04435352824419202,0.04099164456307659,0.6831815866787643,0.6690494617080214,0.009765625,0.0078125,0.9944812233727618,0.9961293650758034,0.26880345191340793,0.23685514456506607,0.07206568337098576,0.06792955597557587,92.68800642523388,93.7494880034019,0.3297205887569608,0.19569285375838677
7,right_4kg,0.04383427079956143,0.04067831284152458,0.6850450470735334,0.6737522541171526,0.005859375,0.001953125,0.9968717711259513,0.998560855263158,0.26154515153220953,0.23503565644634816,0.07267033086809468,0.07139142367330534,93.317735089709,93.64976826486486,0.3532156008345295,0.22253801190950734
