case,metric,reference,candidate,candidate_minus_reference,reduction_percent,difference_ci95_low,difference_ci95_high,reduction_percent_ci95_low,reduction_percent_ci95_high
all_0_cold,failure_rate,0.001953125,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0
all_0_cold,coverage,0.9987877155172413,0.9990346623563218,0.0002469468390804419,-0.02472465722634121,0.0,0.0007408405172413257,-0.07435446802757337,0.0
all_0_cold,truncated_error_body_pos,0.043378130831761064,0.03488468567259053,-0.008493445159170533,19.580016465236238,-0.00887091688117565,-0.00811787081311815,18.380639511161792,20.772606973101073
all_0_cold,common_error_body_pos,0.043378130831761064,0.03487573708589055,-0.008502393745870515,19.600645723639946,-0.00887531878120995,-0.008126916437557904,18.419861512019928,20.77290603299961
all_0_cold,truncated_error_joint_pos,0.5635375865685479,0.48976746996536336,-0.07377011660318455,13.090540606595592,-0.07787654291185996,-0.06964798517988566,12.193790808246492,13.966260143564249
all_0_cold,common_error_joint_pos,0.5635375865685479,0.48985521301825335,-0.07368237355029456,13.074970562115634,-0.07778752890345265,-0.06956614337181118,12.187541391847674,13.960010741232637
all_0_cold,truncated_error_anchor_pos,0.21728294364958534,0.17560844372822262,-0.04167449992136271,19.17983032693613,-0.05015620415280718,-0.03332398847377944,15.974564411505261,22.435426429306155
all_0_cold,truncated_error_anchor_rot,0.09041422226984061,0.06807454362887791,-0.0223396786409627,24.708146661141523,-0.023864776243907152,-0.02090075464876665,23.177570381193046,26.348896735260386
all_0_cold,truncated_error_body_rot,0.1700815125856833,0.13566805005801946,-0.034413462527663835,20.233511570122648,-0.03582637912293322,-0.03297371076529489,19.268774929617216,21.22318382467997
all_0_cold,truncated_error_joint_vel,3.033671405502397,3.0000946154846115,-0.03357679001778546,1.1068037875455043,-0.05533553296921816,-0.011502969389451894,0.37640390108994826,1.8148015666701045
all_0_cold,truncated_error_anchor_lin_vel,0.15112867367720062,0.1366982492295763,-0.014430424447624324,9.548435843780787,-0.017190548729196283,-0.011818936235993406,7.99623571531112,11.144280622930193
all_0_cold,truncated_error_anchor_ang_vel,0.3734917010292452,0.34894898921255313,-0.024542711816692098,6.571153187355654,-0.02801082156427303,-0.02107675138046149,5.697843728727719,7.439285720827706
all_0_cold,truncated_error_body_lin_vel,0.18726201496741263,0.17366578075630118,-0.013596234211111446,7.26054037893241,-0.016212767271391784,-0.011052005578739215,5.992663216634198,8.527557101717377
