comparison,case,metric,aggregation,paired_motions,reference,candidate,candidate_minus_reference,difference_ci95_low,difference_ci95_high,error_reduction_percent,error_reduction_percent_ci95_low,error_reduction_percent_ci95_high
film_vs_baseline,all_2_cold,common_error_body_pos,common_survival,512,0.042797686170439456,0.04399860570133764,0.0012009195308981813,0.0007428218413657378,0.0016783332196884351,-2.8060384529097777,-3.94409004107078,-1.7347148687952743
film_vs_baseline,all_2_cold,common_error_joint_pos,common_survival,512,0.6571656443045706,0.681867196438785,0.024701552134214433,0.020681919012020038,0.02880548329130218,-3.7588015058751654,-4.419144582598675,-3.1309565770174617
film_vs_baseline,all_2_cold,truncated_error_anchor_ang_vel,own_survival,512,0.4845308063776097,0.46329434298904537,-0.02123646338856433,-0.027081961208906248,-0.014691616752961913,4.382892296844817,3.0262983333144655,5.573049837087057
film_vs_baseline,all_2_cold,truncated_error_anchor_lin_vel,own_survival,512,0.1873538178303697,0.17883992962455164,-0.008513888205818054,-0.011005315513031116,-0.0060038834486822075,4.544283273440702,3.2439717815222733,5.805855444931895
film_vs_baseline,all_2_cold,truncated_error_anchor_pos,own_survival,512,0.23826296182492576,0.21289177635719858,-0.02537118546772718,-0.034388120842059715,-0.01632523659723973,10.648396743414018,6.92530912906897,14.246705075644345
film_vs_baseline,all_2_cold,truncated_error_anchor_rot,own_survival,512,0.08148796156744809,0.07690692268534433,-0.004581038882103761,-0.0061276150363048145,-0.002974207181297794,5.621736995239483,3.646691887587228,7.540236205453563
film_vs_baseline,all_2_cold,truncated_error_body_ang_vel,own_survival,512,1.1861361763648846,1.1704117569214454,-0.015724419443439164,-0.025587084836838407,-0.005105378835069001,1.3256841631480556,0.4275862656507929,2.14678859074941
film_vs_baseline,all_2_cold,truncated_error_body_lin_vel,own_survival,512,0.25789034003008515,0.2528321942771442,-0.005058145752940946,-0.007485399588722989,-0.0026203362490824283,1.9613552614459575,1.0133642863200527,2.8569370173669775
film_vs_baseline,all_2_cold,truncated_error_body_pos,own_survival,512,0.042892868849007185,0.04399860539833248,0.0011057365493252966,0.0006069914541685154,0.0015780860839443532,-2.577902991795081,-3.720681187435146,-1.4268973518165553
film_vs_baseline,all_2_cold,truncated_error_body_rot,own_survival,512,0.20456114846562368,0.21031933736713762,0.005758188901513944,0.004390791722161098,0.007099860488163544,-2.8148985986366823,-3.509209764268582,-2.1422286958901333
film_vs_baseline,all_2_cold,truncated_error_joint_pos,own_survival,512,0.6583950091287225,0.6818671942951823,0.02347218516645977,0.019005670680695846,0.027637873144363275,-3.5650612232801318,-4.242334167645059,-2.867931613456632
film_vs_baseline,all_2_cold,truncated_error_joint_vel,own_survival,512,4.2261575312868125,4.165619634958914,-0.06053789632789819,-0.09744341928732872,-0.02324706843524348,1.4324571642142538,0.5478076742641664,2.261550770673166
film_vs_baseline,all_2_cold,failure_rate,motion,512,0.00390625,0.009765625,0.005859375,0.0,0.013671875,,,
film_vs_baseline,all_2_cold,coverage,motion,512,0.9989067658037216,0.9941177946222287,-0.004788971181492907,-0.010498949996066884,-0.0006254923288188108,,,
