comparison,case,metric,aggregation,paired_motions,reference,candidate,candidate_minus_reference,difference_ci95_low,difference_ci95_high,error_reduction_percent,error_reduction_percent_ci95_low,error_reduction_percent_ci95_high
film_vs_baseline,all_0_cold,common_error_body_pos,common_survival,512,0.0401585507217112,0.03466183631396924,-0.005496714407741958,-0.005848345673064932,-0.005138167705128372,13.68753181814958,12.76952068618782,14.654401383174156
film_vs_baseline,all_0_cold,common_error_joint_pos,common_survival,512,0.548624703870097,0.5093606087782068,-0.039264095091890217,-0.042581778555906835,-0.036026897810615875,7.156822289429232,6.527590068012724,7.828723493287205
film_vs_baseline,all_0_cold,truncated_error_anchor_ang_vel,own_survival,512,0.38845728016535985,0.34037485090455666,-0.048082429260803194,-0.051536545610081905,-0.044965487657682324,12.377790741966608,11.596693303661622,13.169223112433157
film_vs_baseline,all_0_cold,truncated_error_anchor_lin_vel,own_survival,512,0.14496139869037222,0.1341405396184866,-0.010820859071885625,-0.012411008259723494,-0.009197783968296163,7.464648637254287,6.429178784741832,8.524360019141959
film_vs_baseline,all_0_cold,truncated_error_anchor_pos,own_survival,512,0.1774625841112483,0.14958286992651615,-0.027879714184732146,-0.034284582764439415,-0.021742627714123382,15.710192841131414,12.55583671823964,18.921785111960673
film_vs_baseline,all_0_cold,truncated_error_anchor_rot,own_survival,512,0.07876608955387729,0.06924001827222419,-0.0095260712816531,-0.010914647468130137,-0.008039820821840205,12.0941274799952,10.325594343806184,13.678707752359056
film_vs_baseline,all_0_cold,truncated_error_body_ang_vel,own_survival,512,0.7938457536963406,0.7256999910389696,-0.06814576265737093,-0.07316600064456469,-0.06332777912367982,8.584257374945642,7.984505023009557,9.16146413436634
film_vs_baseline,all_0_cold,truncated_error_body_lin_vel,own_survival,512,0.18409710848210775,0.1707809927562312,-0.013316115725876543,-0.01484469892616537,-0.011735459146494754,7.233201996309858,6.407221086701903,8.028120714679623
film_vs_baseline,all_0_cold,truncated_error_body_pos,own_survival,512,0.04015855062306278,0.03464977062080768,-0.005508780002255104,-0.0058625831351354525,-0.005145189587828882,13.71757674713352,12.82110062496791,14.658386880214554
film_vs_baseline,all_0_cold,truncated_error_body_rot,own_survival,512,0.17290657016483574,0.15234617025436256,-0.020560399910473176,-0.021791130712620083,-0.019307928812490955,11.891046066596823,11.065249666071805,12.688459509504142
film_vs_baseline,all_0_cold,truncated_error_joint_pos,own_survival,512,0.5486247054544471,0.5093799257291497,-0.039244779725297385,-0.04256211946054751,-0.03601416388938615,7.153301580319722,6.523433183643267,7.824575325953576
film_vs_baseline,all_0_cold,truncated_error_joint_vel,own_survival,512,3.13693614151109,2.945803385323472,-0.19113275618761794,-0.20801724325140483,-0.1744998232461894,6.092975679624374,5.542314035222327,6.634757078933546
film_vs_baseline,all_0_cold,failure_rate,motion,512,0.001953125,0.001953125,0.0,0.0,0.0,,,
film_vs_baseline,all_0_cold,coverage,motion,512,0.9992703843390804,0.9993152837643678,4.489942528740354e-05,0.0,0.0001346982758620996,,,
film_vs_baseline,all_4_cold,common_error_body_pos,common_survival,512,0.0638986517040024,0.06844710528667126,0.0045484535826688655,0.0036852972147590835,0.005434199610207993,-7.1182309193919435,-8.595807512251673,-5.756625748163799
film_vs_baseline,all_4_cold,common_error_joint_pos,common_survival,512,0.897680310654668,0.9398873962059167,0.042207085551248635,0.03486276032734754,0.0502302137145266,-4.701794731408055,-5.620988118153068,-3.8511968371942995
film_vs_baseline,all_4_cold,truncated_error_anchor_ang_vel,own_survival,512,0.7031968218263651,0.6518122503990429,-0.05138457142732222,-0.06417946200715606,-0.03888032778605676,7.307281522385807,5.56153297575132,9.053281129770461
film_vs_baseline,all_4_cold,truncated_error_anchor_lin_vel,own_survival,512,0.3017998735008076,0.27128471657109265,-0.03051515692971496,-0.03538525747392135,-0.025420460613649137,10.111056898648203,8.423973428483867,11.808418701459388
film_vs_baseline,all_4_cold,truncated_error_anchor_pos,own_survival,512,0.5186932033364563,0.4047723500655832,-0.11392085327087309,-0.13625797297972603,-0.09228991410843518,21.963051094189296,18.59346588399919,25.13348934418223
film_vs_baseline,all_4_cold,truncated_error_anchor_rot,own_survival,512,0.1038401330907903,0.10394303519150626,0.00010290210071596528,-0.0019339141734295937,0.0021140868333635677,-0.09909665719129533,-2.088320749709112,1.861604287475702
film_vs_baseline,all_4_cold,truncated_error_body_ang_vel,own_survival,512,1.708015518994545,1.585942000440568,-0.12207351855397697,-0.1426883999218586,-0.10210089059794422,7.147096568878824,5.909616750252773,8.39600011823795
film_vs_baseline,all_4_cold,truncated_error_body_lin_vel,own_survival,512,0.39349051704976634,0.3634602122773966,-0.03003030477236973,-0.035504053534410676,-0.024385009620986255,7.631773440825177,6.191022398590687,9.041561231935143
film_vs_baseline,all_4_cold,truncated_error_body_pos,own_survival,512,0.06445532284675609,0.06859175841880119,0.0041364355720451,0.0032222443890484584,0.005113632940959913,-6.41752362621713,-8.009152948382782,-4.959790701067124
film_vs_baseline,all_4_cold,truncated_error_body_rot,own_survival,512,0.29042076667149685,0.29600308832036715,0.005582321648870292,0.003082588024011525,0.008180108911547556,-1.9221496151425748,-2.839639260981508,-1.069105163879547
film_vs_baseline,all_4_cold,truncated_error_joint_pos,own_survival,512,0.9021741108192733,0.9413770239561631,0.03920291313688973,0.03074123301591932,0.04809317668727128,-4.345382190283555,-5.3542710999924505,-3.371778353393531
film_vs_baseline,all_4_cold,truncated_error_joint_vel,own_survival,512,6.225883331899034,5.773238111571034,-0.4526452203279998,-0.5331293710029302,-0.3728019958371603,7.270377490191947,5.923829107717288,8.59607830851822
film_vs_baseline,all_4_cold,failure_rate,motion,512,0.091796875,0.099609375,0.0078125,-0.0078125,0.0234375,,,
film_vs_baseline,all_4_cold,coverage,motion,512,0.9392351427266663,0.9354001305667858,-0.0038350121598804687,-0.013407092282781294,0.005761043957781072,,,
film_vs_baseline,all_0_warm,common_error_body_pos,common_survival,512,0.03996762586866376,0.033453492143577866,-0.0065141337250858924,-0.006892834915102425,-0.006166258189520401,16.298525577905885,15.31540157168446,17.34083856432446
film_vs_baseline,all_0_warm,common_error_joint_pos,common_survival,512,0.5480746466753386,0.5063125326299083,-0.04176211404543029,-0.04525827674934764,-0.038468804294842965,7.619785789903322,6.988802973316511,8.30358961773539
film_vs_baseline,all_0_warm,truncated_error_anchor_ang_vel,own_survival,512,0.38872541432907937,0.33518983664474644,-0.053535577684332925,-0.057060646199791246,-0.050380294190527766,13.77208067981165,12.994039490206331,14.59162664660406
film_vs_baseline,all_0_warm,truncated_error_anchor_lin_vel,own_survival,512,0.1451131266077454,0.13012527820419997,-0.014987848403545417,-0.016844583232762885,-0.013239571959588881,10.328389136055899,9.189612946112383,11.51108679509418
film_vs_baseline,all_0_warm,truncated_error_anchor_pos,own_survival,512,0.17869261512595738,0.13982654529030608,-0.0388660698356513,-0.04577685555433431,-0.031994637668620436,21.750238423818057,18.274281300087026,24.94990030104622
film_vs_baseline,all_0_warm,truncated_error_anchor_rot,own_survival,512,0.07861001672405071,0.0676369454660431,-0.010973071258007616,-0.012258742296149205,-0.009764715602493246,13.958871547537031,12.506868896668307,15.437598169194814
film_vs_baseline,all_0_warm,truncated_error_body_ang_vel,own_survival,512,0.7938410611789786,0.7166734058476271,-0.0771676553313515,-0.08270588003243426,-0.07173610970736286,9.720794136895039,9.037889288022685,10.39695638752052
film_vs_baseline,all_0_warm,truncated_error_body_lin_vel,own_survival,512,0.18410727875149835,0.1672636183911833,-0.016843660360315038,-0.018600524330644436,-0.015059716669568816,9.148829136217927,8.224514799000167,10.029534553926284
film_vs_baseline,all_0_warm,truncated_error_body_pos,own_survival,512,0.03996762570070646,0.03345349203500266,-0.006514133665703796,-0.0068928349354583935,-0.006166258249293807,16.29852549782224,15.315401602471265,17.340838332050104
film_vs_baseline,all_0_warm,truncated_error_body_rot,own_survival,512,0.17286138154711458,0.1491676520439731,-0.023693729503141497,-0.024984350080542464,-0.02247378386214425,13.706780132775698,12.906229324161606,14.56179464355925
film_vs_baseline,all_0_warm,truncated_error_joint_pos,own_survival,512,0.5480746462543395,0.5063125319858552,-0.04176211426848431,-0.045258276243803706,-0.03846880525750029,7.619785836454142,6.988803626701931,8.303589988078004
film_vs_baseline,all_0_warm,truncated_error_joint_vel,own_survival,512,3.136465734009498,2.918589847254869,-0.2178758867546291,-0.23691754273078064,-0.19867007730358385,6.946541273897728,6.316252518911471,7.576057813954061
film_vs_baseline,all_0_warm,failure_rate,motion,512,0.0,0.0,0.0,0.0,0.0,,,
film_vs_baseline,all_0_warm,coverage,motion,512,1.0,1.0,0.0,0.0,0.0,,,
film_vs_baseline,all_4_warm,common_error_body_pos,common_survival,512,0.06386166383891767,0.06714131564199438,0.0032796518030767108,0.0023998450249694274,0.004154267052878122,-5.135556460522521,-6.521096915363178,-3.7400308366618282
film_vs_baseline,all_4_warm,common_error_joint_pos,common_survival,512,0.8970738770572655,0.9316608457157967,0.03458696865853117,0.027121008108954504,0.04267417650215717,-3.8555318065875728,-4.782102464676543,-3.0171264383268444
film_vs_baseline,all_4_warm,truncated_error_anchor_ang_vel,own_survival,512,0.7029636084395983,0.6577179287622772,-0.04524567967732107,-0.058873652892533324,-0.03170105375844009,6.436418490817051,4.507284425931116,8.367217735234338
film_vs_baseline,all_4_warm,truncated_error_anchor_lin_vel,own_survival,512,0.30230211040032223,0.26839553828752316,-0.03390657211279907,-0.03971186365668845,-0.028267722568010578,11.216121537457495,9.335372670145249,13.184356269268811
film_vs_baseline,all_4_warm,truncated_error_anchor_pos,own_survival,512,0.5198230374066749,0.39427655808876244,-0.12554647931791246,-0.14900997320386658,-0.10271617187711013,24.151772869522375,20.598758598270216,27.472485552308168
film_vs_baseline,all_4_warm,truncated_error_anchor_rot,own_survival,512,0.10394528622483323,0.1069814557738731,0.0030361695490398605,0.0010447172181589973,0.005208722041079034,-2.92093048113085,-5.0094340850074826,-1.0010175103777266
film_vs_baseline,all_4_warm,truncated_error_body_ang_vel,own_survival,512,1.7074876811889999,1.5807297629798929,-0.12675791820910698,-0.15014545011086278,-0.10401018069006172,7.423650525012268,6.050740720743548,8.83307717316449
film_vs_baseline,all_4_warm,truncated_error_body_lin_vel,own_survival,512,0.39331131513479384,0.3599817489551357,-0.033329566179658154,-0.039620376497924895,-0.02715050290727328,8.47409288701384,6.8556973813026865,10.118542509671896
film_vs_baseline,all_4_warm,truncated_error_body_pos,own_survival,512,0.06468161629494429,0.0675403689996393,0.0028587527046950167,0.0018170770969722452,0.003885135040709176,-4.419729852852279,-6.031884303314006,-2.8312977549602523
