comparison,case,metric,aggregation,paired_motions,reference,candidate,candidate_minus_reference,difference_ci95_low,difference_ci95_high,error_reduction_percent,error_reduction_percent_ci95_low,error_reduction_percent_ci95_high
film_vs_baseline,all_0_cold,common_error_body_pos,common_survival,512,0.04182167645737296,0.036543792220937496,-0.005277884236435465,-0.005654937785648164,-0.004908873005727028,12.619972902843783,11.685731930541465,13.55378467479445
film_vs_baseline,all_0_cold,common_error_joint_pos,common_survival,512,0.5804308180671419,0.5326982536129314,-0.04773256445421048,-0.05147248820134149,-0.04391880832753775,8.223644053422568,7.52581372269664,8.910258794151481
film_vs_baseline,all_0_cold,truncated_error_anchor_ang_vel,own_survival,512,0.4161850490852994,0.35468944105850336,-0.061495608026796045,-0.0649968300958568,-0.057953352599763926,14.776025270958781,14.00104480029427,15.562574923848194
film_vs_baseline,all_0_cold,truncated_error_anchor_lin_vel,own_survival,512,0.15115849724993635,0.1381803814822441,-0.012978115767692255,-0.015146160792894372,-0.010863844018346456,8.585766598508387,7.345539471020343,9.90911857609475
film_vs_baseline,all_0_cold,truncated_error_anchor_pos,own_survival,512,0.1830828435428074,0.1538054255348954,-0.029277418007912004,-0.035736707828876835,-0.02273587150230302,15.991349839979149,12.665213407757452,19.176813214730135
film_vs_baseline,all_0_cold,truncated_error_anchor_rot,own_survival,512,0.08068539136497743,0.0718784408855742,-0.008806950479403233,-0.010232514607125258,-0.007345370520189936,10.915173528210717,9.205414489392368,12.578630067226864
film_vs_baseline,all_0_cold,truncated_error_body_ang_vel,own_survival,512,0.8377171394789371,0.7634583769703666,-0.07425876250857055,-0.08015201088207446,-0.06822653996808963,8.864419624356707,8.210770485871285,9.545580911951449
film_vs_baseline,all_0_cold,truncated_error_body_lin_vel,own_survival,512,0.19297178408105925,0.17735200544111043,-0.015619778639948817,-0.017831857562260224,-0.01346238495552244,8.094332917286815,7.110357448098601,9.133133072344673
film_vs_baseline,all_0_cold,truncated_error_body_pos,own_survival,512,0.04182167612329385,0.03638915485784604,-0.005432521265447812,-0.0059392917922243835,-0.004986119842124634,12.98972630707645,12.043867063581583,13.95869407796103
film_vs_baseline,all_0_cold,truncated_error_body_rot,own_survival,512,0.18131531010187965,0.1644658316216901,-0.016849478480189556,-0.018143708905056045,-0.015578372822114276,9.292915458006258,8.54987058840942,10.015363610538726
film_vs_baseline,all_0_cold,truncated_error_joint_pos,own_survival,512,0.5804308178754796,0.5322107006290482,-0.04822011724643138,-0.051983296710025426,-0.0442606073080623,8.307642489233936,7.600072208587838,8.982687380282835
film_vs_baseline,all_0_cold,truncated_error_joint_vel,own_survival,512,3.2872524571373596,3.0817416171600764,-0.20551083997728314,-0.22767410528226686,-0.18547123841469698,6.251751049149668,5.633013956055395,6.924431042573174
film_vs_baseline,all_0_cold,failure_rate,motion,512,0.001953125,0.0,-0.001953125,-0.005859375,0.0,,,
film_vs_baseline,all_0_cold,coverage,motion,512,0.9993601831896551,1.0,0.000639816810344862,0.0,0.001919450431034475,,,
film_vs_baseline,all_4_cold,common_error_body_pos,common_survival,512,0.06465590548810976,0.06905881591005383,0.004402910421944073,0.003543668024680473,0.005203355263683755,-6.809757575437203,-8.074776123350166,-5.45898163108608
