comparison,case,metric,aggregation,paired_motions,reference,candidate,candidate_minus_reference,difference_ci95_low,difference_ci95_high,error_reduction_percent,error_reduction_percent_ci95_low,error_reduction_percent_ci95_high
film_vs_baseline,all_0_cold,common_error_body_pos,common_survival,512,0.0417071096204677,0.03593349105604999,-0.005773618564417708,-0.0061810659397950616,-0.00542537297284377,13.84324787058443,12.966443102442023,14.754583853044771
film_vs_baseline,all_0_cold,common_error_joint_pos,common_survival,512,0.5748601687206414,0.5254055078299249,-0.049454660890716484,-0.052988172938518166,-0.0460441648304053,8.602902685148367,7.98199409823042,9.258096985511568
film_vs_baseline,all_0_cold,truncated_error_anchor_ang_vel,own_survival,512,0.40714045652365627,0.3522835819378939,-0.05485687458576238,-0.058647151153283276,-0.05114296110050762,13.473697763704063,12.654034797273182,14.279298223502561
film_vs_baseline,all_0_cold,truncated_error_anchor_lin_vel,own_survival,512,0.15001253562809486,0.1372518749159221,-0.012760660712172744,-0.01469471787551724,-0.010876115883650795,8.506396254649324,7.3417776150603835,9.719024746530108
film_vs_baseline,all_0_cold,truncated_error_anchor_pos,own_survival,512,0.1850770253878668,0.15275297469570578,-0.032324050692161016,-0.03892884900349608,-0.025646904485974047,17.465188142298782,14.217249917647512,20.781345609996833
film_vs_baseline,all_0_cold,truncated_error_anchor_rot,own_survival,512,0.08258997026899913,0.0709924021240059,-0.011597568144993228,-0.01324949212485219,-0.010084393316924138,14.042344496818977,12.407960557911025,15.777172176552916
film_vs_baseline,all_0_cold,truncated_error_body_ang_vel,own_survival,512,0.8289788225262309,0.7580619540333364,-0.07091686849289447,-0.07690262689713427,-0.06501138799462866,8.554726196355938,7.899927237406301,9.237043344999282
film_vs_baseline,all_0_cold,truncated_error_body_lin_vel,own_survival,512,0.19149003453919877,0.17634815202054172,-0.015141882518657057,-0.017034909608600598,-0.013245393612500036,7.907399753253193,7.017262784481422,8.806737622490923
film_vs_baseline,all_0_cold,truncated_error_body_pos,own_survival,512,0.04170710959555086,0.03593349088355422,-0.0057736187119966365,-0.006181066090750424,-0.005425373224343439,13.843248232700695,12.966443491211562,14.75458419243593
film_vs_baseline,all_0_cold,truncated_error_body_rot,own_survival,512,0.18052378155868892,0.161879740020939,-0.018644041537749928,-0.019930930123427806,-0.017374336475792975,10.327748165240314,9.56705575053437,11.07750248788095
film_vs_baseline,all_0_cold,truncated_error_joint_pos,own_survival,512,0.5748601670478172,0.5254055073053829,-0.04945465974243424,-0.05298817169857481,-0.04604416497996565,8.602902510432694,7.981993815795547,9.258096501528254
film_vs_baseline,all_0_cold,truncated_error_joint_vel,own_survival,512,3.262931842293316,3.047748542170636,-0.21518330012268017,-0.23728869499345273,-0.1943028972317421,6.594783787191857,5.960768971974951,7.272462245141676
film_vs_baseline,all_0_cold,failure_rate,motion,512,0.0,0.0,0.0,0.0,0.0,,,
film_vs_baseline,all_0_cold,coverage,motion,512,1.0,1.0,0.0,0.0,0.0,,,
film_vs_baseline,all_4_cold,common_error_body_pos,common_survival,512,0.06457507849055165,0.06922985773039342,0.004654779239841769,0.0038443827795517976,0.005433263894542268,-7.208321458754149,-8.512597708662534,-5.9415511896447
