comparison,case,metric,aggregation,paired_motions,reference,candidate,candidate_minus_reference,difference_ci95_low,difference_ci95_high,error_reduction_percent,error_reduction_percent_ci95_low,error_reduction_percent_ci95_high
baseline_vs_frozen_tracker,all_0_cold,common_error_body_pos,common_survival,4096,0.02345731949745959,0.042384620348703064,0.018927300851243473,0.018701558401024762,0.019150055568791603,-80.68825107358616,-82.76692046276455,-78.65173068033414
baseline_vs_frozen_tracker,all_0_cold,common_error_joint_pos,common_survival,4096,0.3762120995856211,0.5836934019886078,0.20748130240298668,0.2057619834634144,0.20932161154224702,-55.15008757866029,-56.24415946028276,-54.04135465412368
baseline_vs_frozen_tracker,all_0_cold,truncated_error_anchor_ang_vel,own_survival,4096,0.2918114932641592,0.42861875310570796,0.13680725984154873,0.13502590237180775,0.13861184808878738,-46.882067019103125,-47.60789280484936,-46.16201829517748
baseline_vs_frozen_tracker,all_0_cold,truncated_error_anchor_lin_vel,own_survival,4096,0.11274244933876434,0.15829248281322528,0.04555003347446093,0.04450763481346957,0.046715710832692416,-40.40184840901751,-41.46353101463587,-39.40876389421995
baseline_vs_frozen_tracker,all_0_cold,truncated_error_anchor_pos,own_survival,4096,0.10341275726226137,0.19424034376933208,0.0908275865070707,0.08678440579840938,0.09472109390646548,-87.83015646389364,-92.09299366323793,-83.66276391805879
baseline_vs_frozen_tracker,all_0_cold,truncated_error_anchor_rot,own_survival,4096,0.04642512629284956,0.0813179310954399,0.03489280480259034,0.03424113613901591,0.03551679408869025,-75.15931046150878,-77.45237655032716,-72.80652631585843
baseline_vs_frozen_tracker,all_0_cold,truncated_error_body_ang_vel,own_survival,4096,0.6240096381086975,0.8636169823382538,0.23960734422955632,0.23670621374508657,0.24257857775331368,-38.39801977350527,-39.04444075533888,-37.734329654876916
baseline_vs_frozen_tracker,all_0_cold,truncated_error_body_lin_vel,own_survival,4096,0.1481117293823262,0.2016055293441958,0.05349379996186959,0.052433449486148434,0.054654137201097915,-36.11719354365521,-36.932281452559465,-35.33625204024039
baseline_vs_frozen_tracker,all_0_cold,truncated_error_body_pos,own_survival,4096,0.023459676907948132,0.0423867193119563,0.018927042404008165,0.01869886112980268,0.019149049997724415,-80.6790412258222,-82.78177425332368,-78.65088412503187
baseline_vs_frozen_tracker,all_0_cold,truncated_error_body_rot,own_survival,4096,0.09209609328746207,0.18106815298429427,0.0889720596968322,0.08839576814875028,0.08957728804049077,-96.6078543843562,-98.40507344762709,-94.84434273058106
baseline_vs_frozen_tracker,all_0_cold,truncated_error_joint_pos,own_survival,4096,0.3761994404039489,0.5836861253440138,0.20748668494006484,0.2057913487216361,0.20933087017171478,-55.15337415634467,-56.24920629310406,-54.040813640066126
baseline_vs_frozen_tracker,all_0_cold,truncated_error_joint_vel,own_survival,4096,2.6677810149373347,3.3985932424190906,0.7308122274817559,0.7209451447671124,0.7407846526726346,-27.39401110472789,-27.97694903939665,-26.78700274348529
baseline_vs_frozen_tracker,all_0_cold,failure_rate,motion,4096,0.001220703125,0.001708984375,0.00048828125,0.0,0.001220703125,,,
baseline_vs_frozen_tracker,all_0_cold,coverage,motion,4096,0.9992530002742804,0.998965253708779,-0.0002877465655014566,-0.0007120286343040849,1.258456829855703e-06,,,
baseline_vs_frozen_tracker,all_4_cold,common_error_body_pos,common_survival,4096,0.08580156918876049,0.06614531096671272,-0.019656258222047765,-0.020141048534041903,-0.019144232449478667,22.90897288696979,22.3711823491613,23.425804713599582
baseline_vs_frozen_tracker,all_4_cold,common_error_joint_pos,common_survival,4096,1.0893433874078324,0.9373924887168494,-0.151950898690983,-0.15718476628704717,-0.14650796807731464,13.948852166125562,13.465451491586023,14.397384442385976
baseline_vs_frozen_tracker,all_4_cold,truncated_error_anchor_ang_vel,own_survival,4096,0.7660102937918726,0.7258452075260255,-0.04016508626584703,-0.04672961916252337,-0.03357647597017572,5.24341338378411,4.393509380527431,6.078072427921567
baseline_vs_frozen_tracker,all_4_cold,truncated_error_anchor_lin_vel,own_survival,4096,0.37582729427604367,0.2976432414256509,-0.07818405285039276,-0.08130482015594102,-0.07478542424380624,20.803186474521162,19.935381985552045,21.58683815985862
baseline_vs_frozen_tracker,all_4_cold,truncated_error_anchor_pos,own_survival,4096,0.701119002194659,0.45089222940828244,-0.2502267727863765,-0.26370527004038613,-0.23594480342705415,35.689629293045954,34.30188592640024,36.9787945250841
baseline_vs_frozen_tracker,all_4_cold,truncated_error_anchor_rot,own_survival,4096,0.1176126517243274,0.11001259203795952,-0.007600059686367885,-0.008873744995059793,-0.0063448060314592524,6.4619405947769,5.402428629231177,7.49934937901557
baseline_vs_frozen_tracker,all_4_cold,truncated_error_body_ang_vel,own_survival,4096,1.8422143564533222,1.7364689848055685,-0.10574537164775366,-0.11616287469171976,-0.09527817825836742,5.740123090308412,5.154966953577684,6.305952408509021
baseline_vs_frozen_tracker,all_4_cold,truncated_error_body_lin_vel,own_survival,4096,0.47753293412131353,0.3963382434590704,-0.08119469066224311,-0.08438218544664948,-0.07776162959000626,17.00295097167397,16.27287515569492,17.66451735932752
baseline_vs_frozen_tracker,all_4_cold,truncated_error_body_pos,own_survival,4096,0.0860394493053847,0.06798667151830873,-0.018052777787075966,-0.018612845442788264,-0.0174365848568207,20.9819773752854,20.31819953960775,21.577724227525177
baseline_vs_frozen_tracker,all_4_cold,truncated_error_body_rot,own_survival,4096,0.3264216735020241,0.3016607094815936,-0.024760964020430487,-0.0262927980539495,-0.023203362423434768,7.585575968281085,7.126389971695878,8.018482822826204
baseline_vs_frozen_tracker,all_4_cold,truncated_error_joint_pos,own_survival,4096,1.0914721532573386,0.9538481535616721,-0.13762399969566652,-0.14345137563214835,-0.1313736576622528,12.609025277002978,12.036877381241492,13.123181311825345
baseline_vs_frozen_tracker,all_4_cold,truncated_error_joint_vel,own_survival,4096,6.755297086860575,6.310753149294792,-0.4445439375657836,-0.4825893525763404,-0.40563519724578956,6.580671906057929,5.988337022298374,7.152916949617462
baseline_vs_frozen_tracker,all_4_cold,failure_rate,motion,4096,0.13525390625,0.099365234375,-0.035888671875,-0.04296875,-0.0283203125,,,
baseline_vs_frozen_tracker,all_4_cold,coverage,motion,4096,0.9155280732243221,0.9404497634419198,0.024921690217597714,0.020592882634063985,0.029095913783775823,,,
baseline_vs_frozen_tracker,all_0_warm,common_error_body_pos,common_survival,4096,0.023457483387412666,0.04236667648599402,0.018909193098581356,0.0187013415682464,0.01912934216532486,-80.6104934032611,-82.66241817756779,-78.61579462112302
baseline_vs_frozen_tracker,all_0_warm,common_error_joint_pos,common_survival,4096,0.37621885104647096,0.5834994746982172,0.2072806236517462,0.20557075414889114,0.2091193222111595,-55.09575691786446,-56.18391244228135,-53.99244497502711
baseline_vs_frozen_tracker,all_0_warm,truncated_error_anchor_ang_vel,own_survival,4096,0.2917278220027364,0.42864569016987986,0.13691786816714346,0.13519574192374204,0.1387574717920628,-46.933428298744566,-47.66035870047636,-46.202392272980084
