case,metric,baseline,moe,moe_minus_baseline,difference_ci95_low,difference_ci95_high,error_reduction_percent,error_reduction_ci95
all_0_cold,failure_rate,0.001953125,0.0,-0.001953125,-0.005859375,0.0,,[]
all_0_cold,coverage,0.9990508177570093,1.0,0.000949182242990676,0.0,0.002847546728971917,,[]
all_0_cold,truncated_error_body_pos,0.04349683625527361,0.04523954225902408,0.0017427060037504688,0.0014217684769064977,0.0020516141969573174,-4.006512090955077,"[-4.797581033799374, -3.2346889999321893]"
all_0_cold,common_error_body_pos,0.043496836370421475,0.04524096760868718,0.0017441312382657018,0.0014217925656802568,0.00205300382972993,-4.009788719833744,"[-4.800515407097713, -3.2379815611956766]"
all_0_cold,truncated_error_joint_pos,0.6078345402974804,0.5783941166477105,-0.029440423649769953,-0.034127153664101455,-0.025240415521936278,4.843493039300055,"[4.160387998371633, 5.604667038583681]"
all_0_cold,common_error_joint_pos,0.6078345418633463,0.5783545663811075,-0.029479975482238796,-0.03416670872116615,-0.025279670124569394,4.850000033210765,"[4.163423781588245, 5.608051911376988]"
all_0_cold,truncated_error_anchor_pos,0.2021717029142432,0.19889125278786574,-0.0032804501263774544,-0.01104993485838579,0.004272412290568515,1.622605972591995,"[-2.1638644135392733, 5.323960695270253]"
all_0_cold,truncated_error_anchor_rot,0.0813939638454317,0.08428794577386757,0.0028939819284358737,0.001680115583858823,0.004183748792142863,-3.555524011499903,"[-5.170277059599996, -2.03588216469357]"
all_0_cold,truncated_error_body_rot,0.16503080577601775,0.16004443087397746,-0.0049863749020402914,-0.006103694848367869,-0.0038823873306807104,3.0214812795665997,"[2.3581527548908867, 3.670360969005785]"
all_0_cold,truncated_error_joint_vel,3.0970947288635235,3.2104086361938906,0.11331390733036706,0.09312329861383473,0.13342654190679912,-3.6587162244129194,"[-4.395796637786417, -2.9408737529055826]"
all_0_cold,truncated_error_anchor_lin_vel,0.14985021088938344,0.14905547689183826,-0.0007947339975451773,-0.0024919101160224425,0.0009273917643833085,0.530352271664025,"[-0.6255790845054686, 1.6594460987277262]"
all_0_cold,truncated_error_anchor_ang_vel,0.37135750137368617,0.3925733947127681,0.021215893339081915,0.018099157849624126,0.02446197880946884,-5.7130644353762445,"[-6.615382799372352, -4.845318639408]"
all_0_cold,truncated_error_body_lin_vel,0.18630520781101945,0.1878760682678858,0.0015708604568663576,-5.3414123310104024e-05,0.0031876181317870185,-0.8431650812787669,"[-1.7344651694219413, 0.028736677652006597]"
all_0_cold,truncated_error_body_ang_vel,0.7636974482546638,0.7919333880683037,0.02823593981363992,0.02296377762214544,0.033688698737293486,-3.697267796058462,"[-4.473026542449748, -2.9643596909505128]"
all_0_warm,failure_rate,0.001953125,0.001953125,0.0,-0.005859375,0.005859375,,[]
all_0_warm,coverage,0.9990508177570093,0.9993489583333334,0.00029814057632404634,-0.001953125,0.002847546728971917,,[]
all_0_warm,truncated_error_body_pos,0.04349339964182042,0.04553925099507406,0.002045851353253643,0.0016509528832942526,0.0024607834244140723,-4.703820281012215,"[-5.643807391871432, -3.7834703442210307]"
all_0_warm,common_error_body_pos,0.043631734866616256,0.04553398667153907,0.0019022518049228165,0.0015708538113038352,0.002214636228626654,-4.359789521865374,"[-5.146348254038442, -3.5820500024715836]"
all_0_warm,truncated_error_joint_pos,0.6079232241089857,0.5829619820263754,-0.024961242082610302,-0.028479968394374222,-0.021307116740698146,4.105985935838398,"[3.5035475335100683, 4.678985580038674]"
all_0_warm,common_error_joint_pos,0.6083953481591372,0.5828116871571511,-0.025583661001986058,-0.028999843168652676,-0.022026664321719867,4.205104637863564,"[3.612732437993969, 4.74706735054652]"
all_0_warm,truncated_error_anchor_pos,0.20187400219947993,0.2019655426214843,9.154042200437695e-05,-0.006818005603255564,0.007521705145750639,-0.045345324810037765,"[-3.795670607874027, 3.3288727208811104]"
all_0_warm,truncated_error_anchor_rot,0.08141774979848951,0.08427000615017627,0.0028522563516867605,0.0016547995771995084,0.004146133286411142,-3.5032365285777973,"[-5.155121688690842, -2.0007526300230563]"
all_0_warm,truncated_error_body_rot,0.1650242680952774,0.16026186754647498,-0.00476240054880242,-0.00591284989312468,-0.003603543164258251,2.88587890967214,"[2.1992412192457826, 3.577678614061407]"
all_0_warm,truncated_error_joint_vel,3.096982590654873,3.180148918092013,0.08316632743713992,0.06336369939869053,0.10524466444215698,-2.6853986098628333,"[-3.44646036846067, -2.0194598584553813]"
all_0_warm,truncated_error_anchor_lin_vel,0.14980571443177387,0.1493541255064884,-0.00045158892528546213,-0.002341583046962561,0.0015593272018183026,0.30144973240732387,"[-1.0341297175811102, 1.5618231495815234]"
all_0_warm,truncated_error_anchor_ang_vel,0.37143396769886106,0.39014477824486293,0.018710810546001877,0.015382564324161022,0.02192932737194888,-5.03745273000223,"[-5.950984669521771, -4.142494285122576]"
all_0_warm,truncated_error_body_lin_vel,0.18629310263695786,0.1876837020434047,0.0013905994064468408,-0.00033815673919316766,0.003253144502850038,-0.7464578058785124,"[-1.7489100900619434, 0.18016311515965122]"
all_0_warm,truncated_error_body_ang_vel,0.763659428777918,0.7837776699956499,0.02011824121773187,0.014884125389558831,0.02560883888158591,-2.6344520161202007,"[-3.38784288416042, -1.9468820229293637]"
all_4_cold,failure_rate,0.05859375,0.05859375,0.0,-0.013671875,0.013671875,,[]
all_4_cold,coverage,0.9629109309889285,0.9633162307154082,0.0004052997264796243,-0.006643379123415535,0.007113290772848263,,[]
all_4_cold,truncated_error_body_pos,0.05975170388273185,0.06051870592836361,0.0007670020456317581,-0.00014037015474487583,0.0016096683397519324,-1.283648826378356,"[-2.709770029954497, 0.228702221796906]"
all_4_cold,common_error_body_pos,0.059519855121071205,0.060248761985895107,0.0007289068648239014,9.697296714559871e-06,0.0014155627040988536,-1.2246448909212044,"[-2.395135222427763, -0.016326398924560014]"
all_4_cold,truncated_error_joint_pos,0.8436365831826929,0.8412172411223012,-0.002419342060391627,-0.011622000187828146,0.0058307143669015194,0.2867753851148142,"[-0.7004215757451581, 1.3616353406705803]"
all_4_cold,common_error_joint_pos,0.840904218793851,0.8400384192510045,-0.0008657995428464904,-0.008197428517667674,0.006075542421875507,0.10296054217546297,"[-0.7297082455239996, 0.9695678367334696]"
all_4_cold,truncated_error_anchor_pos,0.48196153938377473,0.4527335598924958,-0.02922797949127892,-0.048751541980742434,-0.009780990460884624,6.064380060004199,"[2.0309694300301055, 9.962971700089938]"
all_4_cold,truncated_error_anchor_rot,0.0849485993801507,0.09153903354666969,0.006590434166518985,0.004167989292183909,0.008884033203613301,-7.758143412143088,"[-10.759295292312745, -4.80226248003668]"
all_4_cold,truncated_error_body_rot,0.27319146023111507,0.27806084730519415,0.004869387074079079,0.002101139692779751,0.007447462783768298,-1.78240823119422,"[-2.7227069884208386, -0.7611611424167061]"
all_4_cold,truncated_error_joint_vel,5.8228113391231116,5.81864516359854,-0.004166175524571436,-0.09725837082726212,0.0783748933412058,0.07154921019987645,"[-1.3649817036508145, 1.6314638235600967]"
all_4_cold,truncated_error_anchor_lin_vel,0.2816100819943457,0.2742682738204009,-0.007341808173944753,-0.01404452874680669,-0.0012216111810609573,2.6070828579539866,"[0.4395647039730943, 4.786814572654104]"
all_4_cold,truncated_error_anchor_ang_vel,0.6151461351305263,0.6352780139287801,0.020131878798253844,0.005537768988691144,0.03322657626681489,-3.2726985749462787,"[-5.510711574897104, -0.8810416425664113]"
