case,metric,reference,candidate,candidate_minus_reference,reduction_percent,difference_ci95_low,difference_ci95_high,reduction_percent_ci95_low,reduction_percent_ci95_high
all_0_cold,failure_rate,0.0,0.001953125,0.001953125,,0.0,0.005859375,,
all_0_cold,coverage,1.0,0.9993601831896551,-0.000639816810344862,,-0.001919450431034475,0.0,,
all_0_cold,truncated_error_body_pos,0.043834049379141704,0.03546249886516298,-0.008371550513978726,19.09828234569244,-0.008805085980342417,-0.0078966728082427,17.782743355956637,20.288029344910683
all_0_cold,common_error_body_pos,0.043972331440321685,0.03546249886516298,-0.008509832575158707,19.352698154538544,-0.008876877552288094,-0.00816445118909988,18.40458034653763,20.369839578432213
all_0_cold,truncated_error_joint_pos,0.5703177026770921,0.5166800508337076,-0.05363765184338454,9.40487233547327,-0.05787451329709397,-0.04947127142110355,8.606017894436926,10.228008386246394
all_0_cold,common_error_joint_pos,0.5706892235594979,0.5166800508337076,-0.05400917272579031,9.463850112487627,-0.058238846082277224,-0.04990806716297509,8.665353055920038,10.278786754559546
all_0_cold,truncated_error_anchor_pos,0.20202437838731913,0.17291877100515957,-0.02910560738215956,14.406977818468315,-0.037018134666866175,-0.02118793277925647,10.961238876381342,17.750104556672543
all_0_cold,truncated_error_anchor_rot,0.0916126229652614,0.06895461216558457,-0.02265801079967683,24.7324113929895,-0.02435922576610279,-0.021007202172530375,22.883116492190275,26.626958589638722
all_0_cold,truncated_error_body_rot,0.17502581690954608,0.14710464926165273,-0.027921167647893347,15.95259953125835,-0.0293788241587667,-0.026485213847470965,15.087670220110883,16.8362121347247
all_0_cold,truncated_error_joint_vel,3.0904497516888814,3.1158157543448324,0.025366002655951014,-0.8207867687248077,0.004345045001345338,0.047142934034027494,-1.517748750058243,-0.14076274311818276
all_0_cold,truncated_error_anchor_lin_vel,0.14803038845221744,0.14041754104490556,-0.007612847407311885,5.142759866342732,-0.010094754187795377,-0.005206469297493524,3.552395769518487,6.661240180299468
all_0_cold,truncated_error_anchor_ang_vel,0.38394712597149133,0.35592004449563974,-0.02802708147585159,7.299724253680869,-0.031723808400374726,-0.02429651918714841,6.385746716284421,8.198811955369537
all_0_cold,truncated_error_body_lin_vel,0.18600131040867024,0.1791141275384852,-0.006887182870185027,3.7027604026299317,-0.009367193007292458,-0.00452879934332439,2.4802800605735564,4.9441126516410865
all_0_cold,truncated_error_body_ang_vel,0.7771926484153149,0.7767245499023792,-0.0004680985129357218,0.060229405655106004,-0.006814790768668241,0.005509657213328733,-0.7084429472112859,0.8842356104302174
all_0_warm,failure_rate,0.0,0.0,0.0,,0.0,0.0,,
all_0_warm,coverage,1.0,1.0,0.0,,0.0,0.0,,
all_0_warm,truncated_error_body_pos,0.04389722819866618,0.03534680283918225,-0.008550425359483929,19.4782807715949,-0.008929927435003145,-0.008180336964978108,18.608649925132617,20.412464657791926
all_0_warm,common_error_body_pos,0.04389722819866618,0.03534680283918225,-0.008550425359483929,19.4782807715949,-0.008929927435003145,-0.008180336964978108,18.608649925132617,20.412464657791926
all_0_warm,truncated_error_joint_pos,0.5708674232222174,0.5177059363540226,-0.053161486868194774,9.312405070888236,-0.05721578133932849,-0.04919549876491051,8.560551343503548,10.10277053118271
all_0_warm,common_error_joint_pos,0.5708674232222174,0.5177059363540226,-0.053161486868194774,9.312405070888236,-0.05721578133932849,-0.04919549876491051,8.560551343503548,10.10277053118271
all_0_warm,truncated_error_anchor_pos,0.2012228059204317,0.1740671323845321,-0.02715567353589962,13.495325945627467,-0.03445462988557865,-0.0198350008823465,10.261544034324759,16.563833704546514
all_0_warm,truncated_error_anchor_rot,0.09166368790043156,0.06987840555397706,-0.021785282346454493,23.76653486833135,-0.023505744979874607,-0.02011669127386288,21.938451077124093,25.587163107983343
all_0_warm,truncated_error_body_rot,0.17518368564484196,0.1486796668623338,-0.02650401878250816,15.129273416613115,-0.027930821331297574,-0.025108861529234826,14.29327326238494,15.971684852387673
all_0_warm,truncated_error_joint_vel,3.0934873549318045,3.1177355286208277,0.02424817368902321,-0.7838458964561619,4.8180280207721415e-05,0.04886003912316869,-1.5812838583961282,-0.0014930434190813001
all_0_warm,truncated_error_anchor_lin_vel,0.14831688182202646,0.14052935261463367,-0.007787529207392785,5.250602029738912,-0.010363584931448358,-0.005338229253893311,3.6574419842659323,6.863621885955206
all_0_warm,truncated_error_anchor_ang_vel,0.3845870730231433,0.35870727180217926,-0.02587980122096406,6.729243658017254,-0.029416945835200388,-0.022340941566781642,5.85983138561174,7.5844411686620825
all_0_warm,truncated_error_body_lin_vel,0.18624344124784362,0.17923533907174488,-0.007008102176098735,3.762871932103476,-0.009551312334640048,-0.004499823615380247,2.4450784669141874,5.064220414357554
all_0_warm,truncated_error_body_ang_vel,0.777767172340653,0.7786581319047962,0.0008909595641432011,-0.1145535059627036,-0.0057241549458660005,0.007449988367117009,-0.963141457000155,0.7254516769835803
all_4_cold,failure_rate,0.07421875,0.072265625,-0.001953125,,-0.017578125,0.013671875,,
all_4_cold,coverage,0.9507941999371736,0.9524019290577674,0.001607729120593815,,-0.00760212725448127,0.010992519649066642,,
