update,optimizer_steps,memory350_nmse,short50_nmse,short50_to_memory350_ratio
1,4,1.1509235501289368,1.1460611820220947,0.9957752466649089
100,400,0.26984451711177826,0.26771339774131775,0.9921024173725281
200,800,0.1726733073592186,0.17068137601017952,0.9884641617195923
300,1200,0.13535469770431519,0.13748974725604057,1.0157737380965486
400,1600,0.1168594229966402,0.11632533185184002,0.9954296270586965
500,2000,0.10259779915213585,0.10384509526193142,1.0121571429416925
600,2400,0.09231003001332283,0.0941883884370327,1.0203483675981773
700,2800,0.08540813624858856,0.0862792357802391,1.0101992570018754
800,3200,0.07876176945865154,0.08078791946172714,1.0257250442315073
900,3600,0.07364259473979473,0.07577436603605747,1.0289475310286804
1000,4000,0.06970349699258804,0.07109752111136913,1.0199993426288114
1100,4400,0.06664350535720587,0.0676346980035305,1.0148730568869673
1200,4800,0.0622867327183485,0.06465872656553984,1.0380818473480884
1300,5200,0.05964976269751787,0.06291795708239079,1.0547897298677587
1400,5600,0.05752683151513338,0.0601191520690918,1.0450628078356177
1500,6000,0.05572163686156273,0.05819201376289129,1.0443342486055476
1600,6400,0.053730363957583904,0.05672554299235344,1.0557446258345469
1700,6800,0.05207009334117174,0.05507252365350723,1.057661319956987
1800,7200,0.05141895078122616,0.05362453684210777,1.0428944198077046
1900,7600,0.04966359864920378,0.051931630820035934,1.0456678982699639
2000,8000,0.04769270587712526,0.05151971150189638,1.0802429963741407
2100,8400,0.047282363288104534,0.048889147117733955,1.0339827309358216
2200,8800,0.04612287227064371,0.04760930500924587,1.0322276706853801
2300,9200,0.04435422923415899,0.04764748737215996,1.074249021905327
2400,9600,0.04416773281991482,0.045778864063322544,1.0364775627034513
2500,10000,0.04306785762310028,0.044371286407113075,1.03026453731271
2600,10400,0.042158045805990696,0.04392880108207464,1.0420027836259982
2700,10800,0.041269238106906414,0.043541102670133114,1.0550498305139902
2800,11200,0.04078103508800268,0.0428004264831543,1.0495179043590706
2900,11600,0.03972251061350107,0.042256138287484646,1.063783170672058
3000,12000,0.03971740696579218,0.040572128258645535,1.021520067853108
3100,12400,0.03893780242651701,0.040143756195902824,1.030971284824347
3200,12800,0.03795136231929064,0.03893506620079279,1.0259201204221893
3300,13200,0.03786487551406026,0.03875940199941397,1.0236241760525937
3400,13600,0.037041733507066965,0.038064287044107914,1.0276054450001877
3500,14000,0.03669008053839207,0.038137164898216724,1.03944075179422
3600,14400,0.0362901552580297,0.03674582624807954,1.0125563251744154
3700,14800,0.0356564330868423,0.03653525793924928,1.0246470209251322
3800,15200,0.035755095072090626,0.03589822817593813,1.0040031526572342
3900,15600,0.03595395525917411,0.03501652367413044,0.9739268856990506
4000,16000,0.03447662340477109,0.03551635658368468,1.030157627871693
4100,16400,0.03496036725118756,0.03438495937734842,0.9835411376057672
4200,16800,0.03385084541514516,0.03390907542780042,1.0017201937482247
4300,17200,0.03352545667439699,0.03304594103246927,0.9856969691245423
4400,17600,0.03236104315146804,0.03309720987454057,1.0227485473699611
4500,18000,0.03276470163837075,0.032778159249573946,1.000410735045041
4600,18400,0.03290311200544238,0.03216654062271118,0.97761392956966
4700,18800,0.03191600926220417,0.03178361430764198,0.9958517697662479
4800,19200,0.0315476986579597,0.031152982264757156,0.9874882666567201
4900,19600,0.03118798416107893,0.031757039949297905,1.0182459945240427
5000,20000,0.03165378654375672,0.030203189700841904,0.9541730389535046
5100,20400,0.030445673037320375,0.030384967103600502,0.9980060899410744
5200,20800,0.02980902325361967,0.029690067749470472,0.9960094128835719
5300,21200,0.029698404017835855,0.029283456970006227,0.9860279681163868
5400,21600,0.029720934107899666,0.029779653996229172,1.0019757080351623
5500,22000,0.030039377976208925,0.029465177562087774,0.9808850764294815
5600,22400,0.029459985438734293,0.02890079701319337,0.9810187134442471
5700,22800,0.02937589306384325,0.028965771663933992,0.9860388448780797
5800,23200,0.028505231719464064,0.02818724885582924,0.9888447542975874
5900,23600,0.02893746830523014,0.028208636213093996,0.9748135502232441
6000,24000,0.029034744948148727,0.02817302569746971,0.9703211014177013
6100,24400,0.028701342176645994,0.027729908004403114,0.9661537022810965
6200,24800,0.028376687318086624,0.027931641321629286,0.9843164922152955
6300,25200,0.028553178068250418,0.027565944474190474,0.9654247386508021
6400,25600,0.028400070499628782,0.027041851077228785,0.9521754911693705
6500,26000,0.02853094832971692,0.02726279990747571,0.9555518306792365
6600,26400,0.028395739383995533,0.02683359244838357,0.9449865730035393
6700,26800,0.02830625558272004,0.026593975722789764,0.9395087826107399
6800,27200,0.028111462015658617,0.026742151007056236,0.9512899397462982
6900,27600,0.028297232929617167,0.026472445111721754,0.9355135598440261
7000,28000,0.028064793907105923,0.02645729435607791,0.9427218472956255
7100,28400,0.02798518119379878,0.026254694908857346,0.9381641922216715
7200,28800,0.027837105095386505,0.026329284068197012,0.9458341295898837
7300,29200,0.027790683321654797,0.02621297352015972,0.9432288230111382
7400,29600,0.02775269141420722,0.02630458865314722,0.9478211774329504
7500,30000,0.0276934620924294,0.02607855712994933,0.9416864183650936
