update,episode_return,episode_length,return_per_recorded_step,long_full_fraction
950,257.9389921414852,990.175,0.2604983888115588,
951,261.77519119262695,998.14,0.26226300037332134,
952,258.7850417613983,994.3675,0.2602509049837191,
953,256.66693526506424,987.21,0.2599922359630314,
954,256.79590552479027,985.03,0.26069856301309635,
955,259.5624206924438,996.1075,0.26057671555775236,
956,260.5426297569275,995.56,0.26170459817281483,
957,259.4416978049278,991.56,0.26165002400755155,
958,259.4649377447367,994.175,0.26098517639725066,
959,258.3299271169305,990.6075,0.26077929666081723,
960,260.84986793518067,1000.0,0.26084986793518067,
961,257.6723375558853,991.6125,0.2598518449050262,
962,259.3414111864567,992.37,0.26133540029067454,
963,259.1623802375793,995.0975,0.26043918333387367,
964,259.8928223705292,993.36,0.2616300458751401,
965,257.54560828208923,989.8225,0.26019372996884715,
966,259.0984029960632,994.25,0.26059683479614104,
967,259.7526215171814,993.9125,0.26134355038012036,
968,257.519530762434,995.5825,0.25866217090239535,
969,260.13939629077913,993.675,0.26179525125496683,
970,259.80351467609404,992.3825,0.2617977591060846,
971,260.03502658843996,994.89,0.26137063051034787,
972,259.1517450201511,991.2575,0.26143736115000504,
973,258.73471981048584,990.605,0.26118858658141825,
974,259.3165459266305,989.2675,0.2621298545910287,
975,258.8373108974099,994.7675,0.2601988011242928,
976,255.79227445602416,985.57,0.25953739912540374,
977,260.3615817117691,995.5275,0.26153128036319345,
978,258.1825676298142,991.73,0.26033554256684194,
979,258.3224778556824,992.3275,0.26031978137830747,
980,258.85418383300305,991.155,0.2611641810140725,
981,259.1723061656952,995.285,0.2604000926023151,
982,258.02026957035065,992.5875,0.25994712765408656,
983,258.21175629615783,989.5675,0.26093394972668144,
984,257.8634643045068,988.41,0.26088714633047705,
985,261.19493988037107,999.175,0.2614106036283645,
986,258.2264769363403,992.8525,0.26008543760159775,
987,258.9645981501043,989.7525,0.2616458136252288,
988,260.53452207565306,997.4,0.2612136776375106,
989,259.3744925607741,991.125,0.2616970539142632,
990,259.8172852039337,994.34,0.2612962218194317,
991,258.4525400543213,992.6775,0.2603590189707345,
992,257.4005980813503,986.9625,0.2608007883595885,
993,257.45320161819456,990.9475,0.25980508716979916,
994,257.2831946134567,991.2425,0.2595562585476881,
995,259.7126163673401,997.4125,0.2603863660895969,
996,259.58202128529547,994.1375,0.2611127950462541,
997,256.92465121865274,987.7,0.2601241786156249,
998,260.474463763237,996.065,0.26150347995686724,
999,258.53212946433575,992.08,0.2605960501817754,
1000,257.97310200691226,991.9875,0.2600568071743971,
1001,4.342100515067577,17.765,0.2444188300066185,
1002,10.599726262539626,42.39,0.2500525185784295,
1003,16.806741464734078,66.3125,0.253447562144906,
1004,22.975961210727693,90.0925,0.25502634748428216,
1005,29.485540676116944,114.5075,0.2574987723609104,
1006,35.507723202705385,137.605,0.25804093748559565,
1007,41.94818212211132,162.22,0.25858822661885905,
1008,47.77837497651577,184.8125,0.25852350342382563,
1009,54.02614988178015,208.7775,0.25877381366181773,
1010,60.57151325434447,232.7825,0.26020647279904835,
1011,65.78662980377675,254.435,0.25855967065764046,
1012,71.69845778763295,277.5625,0.2583146418829379,
1013,77.85244523137808,300.375,0.2591841705580627,
1014,81.94273117393256,318.065,0.25762888457998384,
1015,89.58173127114773,345.8925,0.2589872034552577,
1016,94.22997047066688,365.82,0.2575856171632685,
1017,98.82716612391174,381.405,0.25911345190522345,
1018,106.39750650763511,411.6225,0.25848321339974156,
1019,108.52843323484063,422.44,0.25690851537458725,
1020,116.42628630749881,451.56,0.25783126562914965,
1021,120.31978129148483,472.1775,0.25481896382501246,
1022,129.28682447910307,499.835,0.2586590064303282,
1023,131.75114744782448,513.32,0.2566647460605947,
1024,135.46769933074714,527.8975,0.2566174291993183,
1025,143.17082032263278,557.51,0.2568040399681311,
1026,144.69877354830504,562.895,0.2570617496128142,
1027,150.12465795472264,586.61,0.25591902278297785,
1028,156.38416407108306,611.8675,0.25558501484567014,
1029,160.8672135347128,628.9525,0.2557700518476559,
1030,166.56773828297852,649.3625,0.25650963565493623,
1031,173.45144227683545,673.4625,0.2575517453114842,
1032,171.97034667402505,676.7625,0.2541073813546481,
1033,177.1466039776802,690.8275,0.25642668246078826,
1034,191.59796474069356,743.6725,0.25763755516130227,
1035,189.99192287296057,741.5325,0.2562152338204469,
1036,192.73043487548827,751.51,0.2564575785757851,
1037,199.9934895890951,779.855,0.25644958304953497,
1038,206.20741795837878,807.2925,0.25543086051013575,
1039,210.27413993000985,819.065,0.25672460663074337,
1040,206.00072982668877,809.4475,0.25449547972745457,
1041,211.59596703857184,831.0875,0.25460131097937566,
1042,217.97050960183142,853.2875,0.2554479112864438,
1043,221.5075148738362,864.925,0.2561002571018715,
1044,230.1025273269415,897.69,0.25632738175421527,
1045,216.8918520566821,851.9525,0.2545820947255652,
1046,213.73072585210204,845.4225,0.2528093655563958,
1047,205.3509545689076,821.0,0.2501229653701676,
1048,211.7871728616953,839.6525,0.2522319326884578,
1049,208.26181820303202,831.8975,0.2503455271869816,
1050,217.96073777601123,868.0,0.25110684075577333,
1051,213.95207319915295,849.8125,0.25176385755581726,
1052,206.70816689789297,819.2225,0.25232237505426547,
1053,210.43362317163496,841.9775,0.2499278462567408,
1054,208.06554529696703,831.775,0.2501464281770515,
1055,206.2559880489111,831.28,0.24811854976531506,
1056,205.667779789567,831.49,0.24734847056436876,
1057,208.54033378764987,839.3225,0.24846269912655727,
1058,209.82565364539624,843.47,0.24876480923494165,
1059,201.95086374014616,814.07,0.24807555092331882,
1060,206.69259984225036,835.1525,0.24749084729106402,
1061,198.6940883541107,807.16,0.24616443871612903,
1062,208.0998024481535,844.55,0.24640317618631638,
1063,212.2149809896946,862.2425,0.24611983402545642,
1064,208.3090909472108,844.01,0.24680879485694576,
1065,205.2992927223444,832.11,0.2467213381912781,
1066,195.83470546871425,790.58,0.2477101690767718,
1067,197.513729031235,805.15,0.24531295911474257,
1068,208.70063163295387,839.2275,0.24868183136629088,
1069,201.99868436306716,823.8725,0.24518197216567755,
1070,209.06673460751773,847.7675,0.2466085744116373,
1071,199.15868201851845,815.5175,0.24421141424741766,
1072,204.19220172688364,833.9725,0.24484284760814493,
1073,203.61816474542022,829.955,0.24533639142534258,
1074,206.05424355760218,846.895,0.24330553794461202,
1075,198.99869765013457,814.3075,0.24437782735653862,
1076,200.79625135958196,824.0325,0.24367516009329965,
1077,188.00837684065104,774.1625,0.24285389287216966,
1078,187.98698170900346,780.6,0.24082370190751146,
1079,198.38755885720252,822.335,0.24124907593280417,
1080,199.2872955927253,823.3425,0.2420466520223665,
1081,190.1316613763198,786.8125,0.24164799285257899,
1082,196.88680512649006,811.2575,0.2426933558413821,
1083,195.1418097808957,805.03,0.24240315240537086,
1084,194.3241222834587,801.8075,0.2423575762055839,
1085,186.99797818005084,771.7075,0.2423171709229868,
1086,201.61200194567442,831.755,0.24239349561550508,
1087,192.08465615987777,788.8,0.2435150306286483,
1088,200.24504020392894,825.6175,0.24253972354501807,
1089,190.3760422642529,789.5175,0.24112960417502194,
1090,188.69187615267933,779.945,0.24192972088118947,
1091,192.33411342278123,789.105,0.24373703553111592,
1092,189.90146480172874,789.9475,0.24039757680317836,
1093,195.66373341321946,810.4375,0.2414297628296068,
1094,186.15083904832602,775.7075,0.2399755565703903,
1095,195.82935381501912,813.3925,0.2407562816414205,
1096,195.22358141019942,806.8175,0.24196746031190378,
1097,192.8265395256877,798.3675,0.24152603847938164,
1098,191.93664005577565,797.46,0.24068497486491566,
1099,188.0358914038539,780.945,0.24077994148608914,
1100,191.35599877864124,791.4725,0.2417721383606395,
1101,198.71397387862206,820.0375,0.24232303264011956,
1102,187.7162059304118,784.6175,0.23924549978863818,
1103,190.41400536701084,792.025,0.24041413511822335,
1104,189.90298652365803,789.41,0.2405631883604946,
1105,189.9956758570671,786.7325,0.2414997166852356,
1106,193.1928266883269,804.22,0.24022385253826925,
1107,192.85109272748232,804.7225,0.23964918680350347,
1108,195.72865558326245,811.1275,0.24130442573240635,
1109,183.91001467349008,763.335,0.2409296241800652,
1110,187.20840212747456,774.135,0.2418291410767819,
1111,194.934792082645,816.8075,0.23865450804827942,
1112,189.7680348777026,787.3225,0.24102960969323575,
1113,195.19125853717327,808.53,0.2414149858844734,
1114,184.85751243308187,775.4275,0.23839432111071876,
1115,182.19205532249063,751.4325,0.2424596425127881,
1116,188.57650962054728,783.8975,0.24056271339116056,
1117,185.89108906030654,775.29,0.23976974946188723,
1118,189.58165999658405,788.66,0.2403845256467731,
1119,185.25777459293604,767.6675,0.2413255408011099,
