update,episode_return,episode_length,return_per_recorded_step,long_full_fraction
950,260.7540559768677,996.165,0.2617578975138332,1.0
951,259.78920315742494,989.425,0.26256583688245694,1.0
952,259.71293764472006,991.3425,0.2619810384854075,1.0
953,259.4103504014015,995.315,0.2606314085504604,1.0
954,257.37988571166994,987.85,0.26054551370316337,1.0
955,261.5445063018799,993.525,0.2632490438608791,1.0
956,259.3931251347065,989.87,0.2620476680116647,1.0
957,261.0179617679119,993.4225,0.26274617473221307,1.0
958,258.6399849551916,987.565,0.2618966700472289,1.0
959,259.80771087646485,990.4075,0.2623240543679898,1.0
960,261.814772605896,997.365,0.2625064771732475,1.0
961,259.6683356833458,997.46,0.26032957279825336,1.0
962,261.9335839557648,996.085,0.2629630844313134,1.0
963,259.2891597563028,990.16,0.2618659204131684,1.0
964,262.163631721735,997.3875,0.26285032820416837,1.0
965,258.85513788700104,987.89,0.2620283006073561,1.0
966,261.7218683242798,996.3625,0.26267735721113533,1.0
967,261.9186595344543,995.1775,0.26318788310070745,1.0
968,258.8411852264404,995.505,0.26000992986116633,1.0
969,259.4374993264675,991.41,0.26168537671242725,1.0
970,261.6106356239319,996.35,0.26256901251962855,1.0
971,260.630517141819,993.4425,0.26235088305746834,1.0
972,260.68085180282594,991.9775,0.26278907717445804,1.0
973,261.12475022315977,994.1775,0.2626540534493687,1.0
974,260.7587752325833,996.43,0.26169301931152544,1.0
975,260.3370669150352,992.6625,0.26226141001099085,1.0
976,258.55583702087404,989.1875,0.2613820302226565,1.0
977,261.75918294906614,995.675,0.26289620905322136,1.0
978,259.73346494674684,995.0725,0.26101963921899846,1.0
979,258.94999865055087,987.9025,0.26212100753925704,1.0
980,258.8500074470043,989.9325,0.2614824823379415,1.0
981,259.78144089698793,994.9825,0.26109146733433797,1.0
982,261.283943195343,994.045,0.2628492102423361,1.0
983,260.9976202309132,990.265,0.2635634100275312,1.0
984,257.6404690027237,986.41,0.2611900416690055,1.0
985,259.7522924590111,992.2175,0.26178967057022384,1.0
986,261.006649684906,995.5425,0.2621752960671252,1.0
987,260.7976939666271,991.995,0.26290222628806303,1.0
988,258.66068564891816,989.235,0.26147546907349434,1.0
989,260.96371066093445,994.5475,0.26239441621534865,1.0
990,261.2230205798149,993.07,0.26304592886686223,1.0
991,259.4042340421677,991.3825,0.26165908117418624,1.0
992,259.57164637565614,992.7175,0.26147584421112363,1.0
993,261.73344630002975,997.4525,0.2624019151789481,1.0
994,258.27058652162555,990.7975,0.2606693966442442,1.0
995,260.817460899353,996.5975,0.26170792210431293,1.0
996,260.9380348420143,997.33,0.26163660457623283,1.0
997,260.0287993234396,993.7225,0.26167144179933494,1.0
998,259.8279771614075,994.93,0.26115201789212056,1.0
999,261.1547616004944,994.8175,0.26251524686738464,1.0
1000,260.99574241638186,995.44,0.262191334903542,1.0
1001,4.350505521893501,17.7675,0.24485749384513866,0.0
1002,10.6289238640666,42.4475,0.25040164589355324,0.0
1003,17.074413793087004,66.215,0.25786323028146196,0.0
1004,22.97033378958702,90.1,0.25494266137166505,0.0
1005,29.483994021713734,114.1675,0.2582520771823306,0.0
1006,35.58928406238556,137.4325,0.25895828179204744,0.0
1007,41.9790008866787,161.04,0.26067437212294275,0.0
1008,48.10765435039997,184.69,0.2604778512664463,0.0
1009,54.46910399079323,208.725,0.2609610923022792,0.0
1010,60.387036862969396,232.285,0.2599695927975091,0.0
1011,65.50522378206253,252.7475,0.2591725883819327,0.0
1012,71.96655460774899,278.2675,0.2586236431051021,0.0
1013,78.22458527803421,299.3325,0.2613300770148053,0.03076171875
1014,83.53776866018772,322.9375,0.2586809170820599,0.133392333984375
1015,88.26986017800867,341.8475,0.25821414571704826,0.7823486328125
1016,94.78724879026413,365.63,0.2592436309664528,0.998565673828125
1017,100.64488682091236,385.8625,0.26083096134222,1.0
1018,105.63515301167965,407.4175,0.25927986159573324,1.0
1019,110.04510630548,427.12,0.2576444706533995,1.0
1020,117.16663980141283,451.965,0.2592383034115758,1.0
1021,122.31361748814582,474.425,0.2578144437754035,1.0
1022,131.35166849792003,505.1875,0.26000577705885447,1.0
1023,133.3978094649315,518.815,0.25712018631869066,1.0
1024,140.32278387993574,539.3575,0.26016655720915305,1.0
1025,146.6282484205067,563.4875,0.2602156186614729,1.0
1026,148.18145496845244,569.2325,0.2603179807345021,1.0
1027,155.36787942886352,597.87,0.25986900066714086,1.0
1028,154.94799310058355,603.42,0.2567829921125975,1.0
1029,162.05401752203704,624.6675,0.25942444183831725,1.0
1030,170.2129569798708,657.7675,0.25877374145100024,1.0
1031,176.08257344096899,679.6,0.2590973711609314,1.0
1032,176.95875860989094,681.02,0.25984370298947307,1.0
1033,183.4655366116762,706.71,0.2596051231929309,1.0
1034,192.20620281875134,736.36,0.26102205825785124,1.0
1035,192.29793598897754,745.8825,0.2578126393754747,1.0
1036,190.8096628795564,740.3025,0.25774553358871055,1.0
1037,201.37791804239154,780.3825,0.2580502741186425,1.0
1038,202.83047291323544,787.775,0.25747259422199925,1.0
1039,204.37057550489902,796.72,0.2565149305965697,1.0
1040,212.15963876768947,825.755,0.25692807039338483,1.0
1041,213.08484661489726,831.4325,0.25628640522820223,1.0
1042,216.63192963674663,842.43,0.25715125249189447,1.0
1043,217.22240059914068,843.13,0.2576380873639186,1.0
1044,225.1441489854455,875.1925,0.2572510036197128,1.0
1045,218.08478228360414,855.7825,0.2548366930658247,1.0
1046,217.28385032534598,850.6125,0.2554439892728428,1.0
1047,214.52521939337254,842.145,0.2547366776426536,1.0
1048,211.58245800316334,828.6575,0.25533161529722875,1.0
1049,214.87557872071864,844.4275,0.25446302817082417,1.0
1050,209.12668611109257,823.775,0.25386384159642206,1.0
1051,233.19504474520684,904.8175,0.2577260549726402,1.0
1052,212.35636711865664,836.205,0.25395252015792374,1.0
1053,215.269902510643,845.4875,0.25461039046779876,1.0
1054,216.98412096351385,849.92,0.2552994646125681,1.0
1055,206.6160269702226,815.4875,0.2533650447986298,1.0
1056,205.09386268287898,813.3925,0.2521462426600675,1.0
1057,217.2680245833844,863.285,0.2516758944999443,1.0
1058,212.35669044792652,842.185,0.25214969448271646,1.0
1059,214.63903534695507,850.325,0.252419998643995,1.0
1060,209.46281508386136,838.8425,0.24970458111488314,1.0
1061,209.34509837895632,844.125,0.24800248586282403,1.0
1062,212.77638955652714,844.4975,0.2519562101208436,1.0
1063,204.89723613530398,819.27,0.2500973258331246,1.0
1064,207.3456986746192,830.315,0.24971932179307754,1.0
1065,208.11765337675808,834.2825,0.2494570524693471,1.0
1066,213.12059275522827,850.8025,0.25049361368264467,1.0
1067,208.31724034249783,833.5175,0.2499254548854677,1.0
1068,211.54431900471448,848.095,0.24943469659025755,1.0
1069,205.22453581281007,831.0275,0.24695276126579455,1.0
1070,204.35609502211213,824.3375,0.24790343157033634,1.0
1071,205.711676947698,831.96,0.24726149928806432,1.0
1072,213.83047883283348,855.6525,0.24990341152843412,1.0
1073,204.7695044016838,826.775,0.2476725885539401,1.0
1074,204.9827231168747,828.005,0.24756218032122354,1.0
1075,205.57153723329304,833.955,0.24650195422210194,1.0
1076,199.0787131267786,809.46,0.24594014914483556,1.0
1077,198.95184696674346,806.93,0.2465540343855644,1.0
1078,202.6119801464677,825.3025,0.24550026220260776,1.0
1079,200.90947939902543,810.8275,0.24778325772007662,1.0
1080,201.46639684438705,817.4075,0.24646996368933127,1.0
1081,196.68973234128208,803.5675,0.24477064134784207,1.0
1082,200.48890064693987,818.235,0.24502606298549912,1.0
